,NAME,COHORT,DESCRIPTION
833,Mux,w2016,API to video infrastructure and analytics. * Mux Video: Stripe for Video * Mux Data: New Relic for Video
834,NetBeez,w2016,Detect network problems before users do.
835,Nova,w2016,"Nova helps salespeople write highly personalized, 1:1 emails at scale."
836,NURX,w2016,Nurx is the fastest way to get oral contraceptives and Truvada for PrEP.
837,Open Motors,w2016,Open Motors (formerly OSVehicle) is a B2B company that is developing EDIT a modular self-driving EV and provides a ready-to-use hardware platform which enables companies to produce complete electric vehicles in half the time and ⅙ the cost.
838,Opentrons,w2016,We make robots for biologists.
839,Outschool,w2016,Marketplace of live online classes for kids
840,Patchwork Security,w2016,"Security patch notifications for servers. Build it, deploy it, and we'll help you keep it secure."
841,Pave,w2016,"Pave analyzes Google Analytics + marketing data and sends you reports on what's working, what's not, and how to improve."
842,Paystack,w2016,Modern payments infrastructure for Africa
843,Perlara,w2016,Perlara is the first personalized drug discovery platform partnering with families and BioPharma around the globe to cure diseases thought too rare to matter.
844,Petcube,w2016,"Petcube is on the mission to improve lives of pets and pet owners using technology. Our first product, Petcube Camera, keeps people connected to their pets, allowing to watch, talk and play with pets remotely with a built-in laser toy."
845,PhysioHealth,w2016,An enterprise health benefits platform that rewards employees for living healthy and decreases healthcare costs.
846,Plato,w2016,We help engineering + product leaders develop soft skills and build better teams.
847,PocketSuite,w2016,"PocketSuite is a YC-backed mobile app for service businesses - fitness trainers, home cleaners, dog walkers, photographers, etc. - helping them message, schedule and collect payment from their clients."
848,Podium,w2016,Podium is an interaction platform for local businesses.
849,Poppy,w2016,Poppy makes it easy for parents to find high quality childcare with just a text.
850,Protonet,w2016,Protonet provides the easiest way for a small business to run its own private cloud. With beautiful (orange) devices and under 3 minutes of setup time! We aim to democratize cloud infrastructure.
851,Pulpix,w2016,Content Discovery Inside Video
852,Rappi,w2016,"Rappi delivers in minutes groceries, cash, clothing, burgers and more. Everything in Bogotá and Mexico delivered for under 1 dollar. Hyper local, Hyper fast."
853,Real Artists,w2016,We make a fast and native issue tracker for software projects.
854,Redspread,w2016,Version control for software environments
855,Reduced Energy Microsystems,w2016,Building the lowest-power silicon for embedded deep learning and computer vision.
856,Relativity Space,w2016,Relativity is creating a revolutionary autonomous platform to build the future of humanity in space. We are 3D printing entire rockets. We disrupt 60 years of aerospace tradition. Relativity's long-term goal is to print the first rocket made on Mars.
857,Restocks,w2016,Buy sneakers and streetwear here
859,Salt Security,w2016,Salt detects and prevents zero-day API attacks with the power of AI. Deploys in minutes. No configuration required. Forever.
861,SendBird,w2016,SendBird is the world's no1. chat API for mobile apps and websites.
862,Silver,w2016,Low cost consumer device for toxin detection.
863,Skymind,w2016,"Cloudera for Deep Learning. Open-core company that bundles popular AI tools like TensorFlow, Keras, scikit-learn, PyTorch and DL4J into an enterprise distribution that enables fast model training and easy, scalable deployment."
864,SOUNDBOKS,w2016,We're creating the loudest battery-driven speaker on the market
865,Spinal Singularity,w2016,Devices to improve the quality of life for people with Spinal Cord Injury and Disease.
866,Start Closing,w2016,Start Closing is changing the way homeowners and contractors interact with and manage their insurance based restoration projects.
867,Stealth Worker,w2016,"Information Security (cyber security), compliance and privacy. If you need: policies, procedures, penetration tests (pen tests), auditors, part time staff, vendor management or privacy (incl GDPR and data protection officer (DPO)) help, ping me."
868,Stilt,w2016,"We use technology to extend credit to immigrants. Our first product is a loan for visa holders (F-1, OPT, H-1B, etc). You can get our loans the first day you arrive in the U.S."
869,Stitch,w2016,Care Coordination Platform for Healthcare
870,Streamup,w2016,"Streamup is a live streaming community for music. We make it fun and easy to watch, chat with, and support your favorite musicians."
871,StrongIntro,w2016,StrongIntro helps recruiters turn their entire company into a source for engineering candidates. We run sourcing sessions where we show employees all the engineers in their LinkedIn networks.
872,SunFarmer,w2016,Reliable and affordable solar energy in developing countries.
873,Thunkable,w2016,Thunkable is a drag and drop tool to build native Android and iOS Apps
874,Tovala,w2016,Tovala makes home cooking effortless by pairing a countertop smart oven with a companion meal delivery service.
875,Toymail,w2016,Connected toys that enable two-way voice messaging between children and their friends and family.
876,TRAC,w2016,An end to end timing solution for any scale athletic event.
877,TrendMD,w2016,Article recommendations for doctors.
878,Truebill,w2016,"Truebill is auto-pilot for your personal finances. We let you manage your subscriptions, lower your bills, and stay on top of your financial life."
879,Unima,w2016,Unima created a lab on paper technology which diagnoses infectious diseases faster and at a lower cost than available lab tests. We are solving the problem of lack of access to diagnostics for 3 billion people living in resource limited settings.
880,Unnyhog,w2016,Video game development company. We are creating unique and revolutionary games. We want to push game industry forward.
881,UpLabs,w2016,"UpLabs is a place where designers & developers come to share, discover and interact with the resources they need to build sites and apps."
882,VINEBOX,w2016,"Wine by the glass, at home"
883,Wakie,w2016,WAKIE IS A VOICE CONVERSATION APP. Set a topic and call someone who is interested right away.
884,WorldCover,w2016,"Funding platform for global insurance, starting with crop insurance in the developing world."
885,X-Zell,w2016,"We make cancer a curable disease. X-Zell removes healthy cells from standard blood samples and visualizes leftover circulating tumor cells on laboratory slides, seamlessly integrating into routine laboratory workflows."
886,Yardbook,w2016,Marketplace & Software Revolutionizing Yard Care
887,Zenysis,w2016,Building powerful data analysis software for developing countries.
888,"80,000 Hours",s2015,An online guide that tells talented graduates how to maximise the social impact of their careers.
889,Afrostream,s2015,AFROSTREAM is Netflix for African-American and African content serving the European and African market. Afrostream targets the 15M people of African descent in Europe and 936M Africans in sub-Saharan Africa.
891,Appcanary,s2015,Appcanary tracks the dependencies you use in your apps and servers and notifies you whenever you're vulnerable to security vulnerabilities.
892,Assembly,s2015,"The most cost effective production monitoring, inventory tracking, and quality control system for manufacturing. We install our sensors in your contract Chinese factory to ensure test compliance, stop warranty fraud, and reduce product liability."
893,Auro Robotics,s2015,Autonomous / self driving / driverless shuttles for in-campus travel.
894,Bistrobot,s2015,We make robots that make sandwiches.
895,Bitmovin,s2015,Video Infrastructure for the Web
896,Bizzy,s2015,Bizzy is omni-channel marketing for ecommerce businesses.
897,Blitz Esports,s2015,"Blitz breaks down the complex world of esports and offers new perspectives on noteworthy, controversial, or impactful topics of the day."
898,BlueCrew,s2015,BlueCrew is a web based staffing agency.
899,Bodyport,s2015,Preventing heart disease.
900,Branch8,s2015,Branch8 helps sellers to list and manage products on e-commerce marketplaces.
902,CareLedger,s2015,CareLedger helps companies save money on healthcare expenses by aligning employee interest with the company's.
904,Circle Medical,s2015,Modern primary care
905,Click & Grow,s2015,Click & Grow has developed the only farming technology that allows you to grow organic food locally and more cheaply than with traditional agriculture.
906,Cloudstitch,s2015,Power your website with Google Spreadsheets. Acquired by Instabase (instabase.com) in Q4 2017.
907,Cofactor Genomics,s2015,Cofactor is using RNA for early diagnosis of disease.
908,Confident Cannabis,s2015,Online B2B platform for the legal cannabis industry powered by laboratory testing data
909,Convox,s2015,"Open-source tools for deploying, managing, and monitoring cloud infrastructure."
910,Cymmetria,s2015,Shifting the asymmetry of cyber security.
911,Drip Capital,s2015,Drip is a digital trade finance startup. Drip is using technology to re-build core parts of the international trade finance infrastructure and make the underwriting and financing of international B2B transactions seamless for small businesses.
912,Eden,s2015,"The Platform for Office Management. Eden provides top office cleaning, IT support, handymen, and supply stocking for companies."
913,Eight,s2015,"Eight is a smart mattress cover. If you are cold at night, Eight makes you warm. If you are not sleeping enough, Eight will let you know. And Eight also makes sure you wake up at the right time each morning."
914,Fetch,s2015,Marketplace for self-service truck rental.
915,Flirtey,s2015,"Flirtey is the world’s first commercial drone delivery service and was founded with the vision of revolutionising four industries - humanitarian, courier delivery, fast food and online retail."
916,Font Awesome,s2015,"Font Awesome makes it easy to add vector icons and social logos to your website. And Pro gives 1,000+ more icons and SVG framework!"
917,Fountain,s2015,The hiring automation platform built for speed and scale.
918,Foxpass,s2015,Making enterprise security practices available for all companies.
919,Gemnote,s2015,"Premium, customized corporate gifts"
920,Gigster,s2015,"Gigster does software development & design on demand. Submit a project & get a quote in minutes for any app or website. We assemble a US-based team and manage your entire project. Top talent from MIT, Stanford Caltech, Google, Facebook."
921,GiveCampus,s2015,"GiveCampus is the digital fundraising and volunteer management platform for non-profit educational institutions. Trusted by millions of donors and 550+ schools, our mission is to advance the quality, affordability, and accessibility of education."
922,GO1,s2015,"A marketplace of onboarding, compliance and professional development training for your staff."
923,GovPredict,s2015,Bloomberg for government data.
924,Gravitational,s2015,"Gravitational helps SaaS companies make more money by giving them a turn key ""on-premise"" offering for their enterprise customers."
925,Greenshoe,s2015,An App that give people instant lines of credit based on information on their phone
926,Her,s2015,Social network for women who like women.
927,Heroic Labs,s2015,Social infrastructure for games and apps. We've built Nakama server. An open-source distributed server for social and realtime games and apps.
928,Hickory,s2015,Hickory turns your employees into experts.
929,Human Interest,s2015,Human Interest is a modern 401(k) provider for startups and small businesses. Set up and run your 401(k) entirely online with no paperwork.
930,InnerSpace,s2015,A wisdom community for startup founders
931,Instawork,s2015,Instawork is the on-demand staffing app for hourly workers and hospitality businesses.
932,Interviewed,s2015,"Job simulations and assessments. See candidates in action doing the job they applied for whether that's sales, customer support, financial analysis, SEM, engineering, or over 500 other roles. Acquired by Indeed.com in August of 2017."
933,Ironclad,s2015,Digital contracting platform for legal teams.
934,jEugene,s2015,jEugene highlights undefined terms and unused definitions in legal documents.
935,Jopwell,s2015,"Jopwell connects Black, Hispanic / Latino, and Native American students and professionals with opportunities at America's leading companies."
936,Klarismo,s2015,Klarismo turns your body into an interactive experience. We built a fully automated pipeline for quantitative medical image analysis that unlocks the non-diagnostic value in MRI scans and empowers patients to take a fantastic journey into their body
937,L.,s2015,"L. makes award-winning personal care products that improve the lives of women worldwide. L.'s products include 100% organic cotton tampons, pads & condoms. For every product sold one is given. Subscribe online or find us at Target, CVS & Whole Foods."
938,Leada,s2015,"Online enterprise training in data science and analytics. Specifically courses in R, Python, SQL, Alteryx that focus on industry application."
939,Lugg,s2015,"Move anything, anytime, anywhere"
940,Maderight,s2015,"Global Manufacturing, Simplified"
941,Markhor,s2015,Markhor is a direct to consumer brand that makes and delivers handcrafted shoes in​ ​3 days at half the price of luxury brands.
942,MicroHealth,s2015,Real-world evidence to inform treatment decisions
943,Mimir,s2015,"A platform for STEM courses featuring automated grading, plagiarism detection and analytics."
944,Nebia,s2015,"Nebia is a breakthrough shower system, based on a premium experience, beautiful design, and 70% water savings."
945,New Story Charity,s2015,We pioneer solutions to address global homelessness.
946,Ohm,s2015,Never jump start your car again.
947,Oolu,s2015,Oolu is the SolarCity for West Africa. We lease solar systems with bright lights and cell charging to some of the 25M households who now spend 2x more on candles and kerosene.
948,Open Invest,s2015,Socially responsible investing made easy
949,Paribus,s2015,"Get money back when prices drop, effortlessly. Acquired by Capital One in October 2016."
950,PartnerStack,s2015,PartnerStack lets companies grow through partnerships.
951,PickTrace,s2015,Agricultural labor and harvest management solution that delivers workflow and real-time data analytics leading to significant efficiency gains in production costs and harvesting time.
952,Plate IQ,s2015,Seamless restaurant operations. We are redefining how restaurants operate and buy products at wholesale with intuitive tools and deep data analytics.
953,PlateJoy,s2015,PlateJoy is building the technology to power disease prevention and treatment through digital nutrition programs that are more efficacious than drugs. We believe in the power of healthy food to change lives.
954,Pro Player,s2015,Pro Player is an e-learning platform for gamers that want to improve their skills and train for eSports competitions.
955,Reach Labs,s2015,Long-range wireless power enabling the next generation of devices.
956,RedCarpetUp,s2015,We lend to people in India that banks cannot see.
957,Roomblocker,s2015,Hotel booking for groups and events.
958,ROSS Intelligence,s2015,ROSS is an AI-powered legal research platform that can read and answer complex questions about case law.
959,Scentbird,s2015,Scentbird is Netflix for perfume + a luxury fragrance subscription service that sends you a 30-day supply of a designer fragrance of your choice for $14.95/month.
960,Scope AR,s2015,"Scope AR is the leading provider of User Guided Augmented Reality (AR) Training Solutions. We transform existing classroom manuals or documents into a simple, and intuitive visual instruction, based on a proven concept of “See-It, Do-It, Prove-It”."
961,Second Measure,s2015,We help institutional investors leverage consumer spending data.
962,Serica,s2015,"Financial payment and loan services for the Medical Cannabis and Healthcare industry, using bitcoin blockchain technology."
963,Seva Coffee,s2015,"We're changing the world of coffee, one personalized cup at a time."
964,ShapeScale,s2015,ShapeScale is a personal 3D scanner and fitness tracker that digitizes your body in photorealistic 3D. Visualize on your phone where exactly you gain muscle or lose mass. Now on pre-order on shapescale.com! 👍 #fitness #health #hardware #IoT
965,Shotput,s2015,Shotput (S15) develops AI and robotics to completely automate e-commerce supply chains.
966,Shred Video,s2015,"Shred Video builds automated video & photo systems that allow adventure tour operators to create and sell cinematic, shareable videos to their customers."
967,SimpleMoney,s2015,Portfolio tracking for Indian investments.
968,SnapEDA,s2015,The Internet's first parts library for circuit board design. Build circuit boards faster with millions of free symbols & footprints.
969,SourceDNA,s2015,Bringing transparency to the app stores and helping developers build better apps. Acquired by Apple in 2016.
971,StyleBee,s2015,marketplace for beauty services delivered at the convenience of clients' location and cheaper than salons' services
972,teaBOT,s2015,"teaBOT is a robot that makes a customized cup of grab-and-go tea. Rather than waiting in line for an off-the-shelf product, teaBOT's customers get a made-to-order cup at the touch of a button."
973,Tenant Turner,s2015,"We help property managers eliminate vacancy. With our landlord and software backgrounds, we built a solution for the paying side of the market--a full-service software solution for the leasing workflow that makes our customers money and saves time."
974,Tesorio,s2015,Tesorio is a treasury enablement platform that helps every company operate with the foresight of a Fortune 500 finance team.
975,TetraScience,s2015,Internet-of-Things for Labs
976,The Ticket Fairy,s2015,"The Ticket Fairy is a full-stack enterprise marketing solution for events. The platform helps to mitigate the capital risk taken to produce events, increase/analyze their audience, realize post-event audience monetization and improve ad campaign ROI."
977,Thrive Agritech,s2015,We design and manufacture energy efficient LED lighting fixtures for indoor agriculture. Our unique lighting technology grows plants better with less energy.
978,Traversal Networks,s2015,"Enterprise Threat Detection: Tuning, Triage, and Analysis by Experts."
979,Triplebyte,s2015,Intelligent technical hiring.
980,Verge Genomics,s2015,We find drugs to treat brain diseases 1000x more cheaply and quickly
981,Vernox,s2015,"Production planning software for construction teams. Like Asana or Jira, but designed for construction, Vernox streamlines planning, communication and progress tracking of work plans on complex commercial construction projects."
983,VOIQ,s2015,"Conversational AI VoiceBots for Sales, Marketing & Service Calls"
984,Wheelys Café,s2015,"Worlds smallest and friendliest café franchise. ""The Bike-Powered Coffee Cart That Could Take On Starbucks"" - Fast Company"
985,Willing,s2015,The best way to make your legal will.
986,Xendit,s2015,Xendit is a mobile wallet designed to serve peer-to-peer payments in Southeast Asia.
987,Xfers,s2015,Xfers makes it possible for people to make and receive payments via Bank transfers via API. We built a proprietary system to allow us to integrate with any banks in a week. Drop us a note if you are interested in Indonesia and Singapore
988,Zeplin,s2015,"Zeplin is a connected space for product teams where they can share designs, generate specs, assets and code snippets."
989,zPREDICTA,s2015,"zPREDICTA (formerly Ixchel Scientific) is creating cell-based biological models that predict how drugs will behave in the human body, eliminating the guesswork from drug development."
990,20n,w2015,Using AI to predict biochemistry for manufacturing and therapeutics
992,Akido Labs,w2015,"Akido Labs is a data technology company leading the transformation of healthcare and government institutions into modern, data-driven organizations. By building and connecting human services data networks, we'll create the equitable world we envision"
993,Atomwise,w2015,Artificial intelligence for drug discovery.
994,Automate Ads,w2015,"On a mission to programmatically automate, optimize, and unify your digital advertising campaigns with incredible software."
995,Bagaveev Corporation,w2015,Launch small satellites
996,Bankjoy,w2015,White-label credit union software
997,Bluesmart,w2015,Bluesmart makes smart luggage powered by an app to empower people to travel.
998,Bonfire,w2015,"Reimagining sourcing: Bonfire is the leading next-generation competitive bidding and RFx platform, empowering modern procurement teams to make faster, more strategic decisions."
999,Booktrope,w2015,Booktrope provides a software platform that makes it easy for creative teams to turn manuscripts into polished books and market them – at scale.
1000,Bright,w2015,SolarCity for developing world
1001,BuildScience,w2015,"The operating system for commercial buildings. With little to no additional hardware, we make buildings smarter by connecting to HVAC, lighting, metering, security and more."
1002,Chariot,w2015,"The world's first private mass transit service providing a commuting experience that's faster, more reliable and more comfortable than public transit, while more affordable than ridesharing and driving. #commutesolved"
1003,Cheddar,w2015,The Best Mobile Checking Account
1004,Cinder,w2015,"The World’s First Countertop Precision Grill – using two ceramic heating plates to cook your meal to a precise target temperature, Cinder allows you to create amazing meals every day."
1005,Cleanly,w2015,Laundry & Dry Cleaning delivered.
1006,ClearMind Biomedical,w2015,Medical devices that save lives and improve recovery for patients with brain hemorrhage
1007,Color Dating,w2015,Actually pivoted to a dating app. Boom! http://www.colordatingapp.com
1008,Cribspot,w2015,Tech-Enabled Real Estate Company (YC W15)
1009,CyberFend,w2015,"Cyberfend delivers robust, real-time web and mobile security by preventing account take-over, synthetic sign-ups and monetary fraud. In addition, Cyberfend's BotFender is the most comprehensive bot/automation detection service available today."
1010,Dealyze,w2015,We are building the customer and employee engagement platform for franchise organizations.
1011,Democracy Earth,w2015,"Incorruptible digital governance for small communities, corporations, large cities & whole nations."
1012,DemocracyOS,w2015,"Online space for deliberation, policy making and democratic participation. We bring institutions and citizens together."
1014,DroneBase,w2015,"At DroneBase, we provide fast, affordable, and reliable data from the air so our customers can make better-informed, real-time decisions about their most critical assets."
1015,eBrandvalue,w2015,"Real-time Nielsen ratings for Brands. Accelerate marketing and product through social. Inform customer interactions, find market opportunites, and spot industry trends faster—from science."
1016,EquipmentShare,w2015,"EquipmentShare is the best way to rent, track, and own construction equipment. Offering the newest fleet, 24/7 on-demand service and built-in telematics."
1017,Final,w2015,A credit card that drastically reduces payment fraud and gives consumers total control over their merchant relationships.
1018,Flip,w2015,"""eBay for the Snapchat generation"" Fastest, guaranteed resale on specialty items."
1019,GitLab,w2015,"GitLab is the first single application for software development, security, and operations that enables Concurrent DevOps, making the software lifecycle 200% faster and radically improving the speed of business."
1020,Giveffect,w2015,"Fundraising, Volunteer and Donor Management SaaS for nonprofits."
1021,GiveMeTap,w2015,We produce & sell stainless steel water bottles that enables people to get free water refills from our partner shops which they can locate via our GiveMeTap App. For each bottle sold we’re able to give a person in Africa access to clean water.
1022,Glassjar,w2015,Clean app for check writing
1023,GroupAhead,w2015,Improve communications with your group's own mobile app.
1024,GrubMarket,w2015,"GrubMarket is today's fastest-growing online farmers' market supplying fresh healthy local food directly from local farms and food producers, to local people, community and local companies, with affordable prices and convenient delivery."
1025,HigherMe,w2015,"HigherMe helps retail and hourly employers find, screen, and hire better employees faster."
1026,Industrial Microbes,w2015,We upgrade methane to chemicals using synthetic biology.
1027,InsiteVR,w2015,Virtual Reality software for architecture and new construction. InsiteVR automates the process of going from 3D to VR and offers comprehensive VR presentation tools to help companies use VR to communicate new spaces and ideas to their clients.
1029,Kickback,w2015,Gambling in Video Games.
1030,Kickpay,w2015,"A marketplace for buying and selling invoices. Businesses improve their cash flow and don't have to wait 60 days to get paid, while investors get access to a whole new asset class which is extremely liquid, low risk, and has double digit returns."
1031,Labdoor,w2015,Labdoor is building the trusted online drugstore.
1032,Leadable,w2015,Real Estate Leads
1033,Level,w2015,Software eats custom framing
1034,LogDNA,w2015,LogDNA helps engineering teams to debug and monitor production issues by aggregating server and application logs into our powerful platform.
1035,Lucira Health,w2015,Next Generation Disease Testing
1036,Lully,w2015,"Lully is developing an under-the-mattress technology that precisely controls sleep stages. We use this to avoid problems in sleep, such as bedwetting, snoring, and night terrors, by getting users into safer stages of sleep prior to the event."
1037,Lumi,w2015,Packaging for online brands.
1038,Magic,w2015,Upgrade your life with a 24/7 personal assistant
1039,Makrwatch,w2015,We connect brands with their audience through YouTube creators. Formerly themidgame.
1040,Mashgin,w2015,Self-Checkout using Computer Vision.
1041,Meadow,w2015,Point of Sale and Compliance SaaS for Cannabis Dispensaries
1042,MetricWire,w2015,Mobile surveys for researchers
1043,Mobydish,w2015,"MobyDish, a tech-enabled service, allowing anyone to place a catering order online to instantly feed groups from 10 to 1,000pl. We select the best restaurants, train our drivers & we're proud to have the best customer service in the space."
1044,Moltin,w2015,"eCommerce building blocks through simple APIs for websites & apps. APIs include inventory, cart, checkout, payments and more."
1045,Nextop,w2015,"Nextop optimizes the path between your app and backend. Client libraries + proxy server. Improves speed, reliability, and battery usage with no change to your backend."
1046,NexTravel,w2015,NexTravel is a centralized travel booking platform that helps companies save time and money.
1047,NimbleRx,w2015,Full Service Pharmacy
1048,Nomiku,w2015,Wave our food in front of your Nomiku and have dinner for everyone with different dietary restrictions and preferences!
1049,Notable Labs,w2015,Personalized drug discovery for blood cancer
1050,Omniref,w2015,"Sticky notes for code. (We're building a community-powered, code-based reference for programmers.)"
1051,Open Listings,w2015,A better way to buy a home
1052,Outbound,w2015,"Create automated messages -- email, iOS/Android push, SMS and web notifications -- that we send in real-time as users take actions inside your product, then measure the effect of each message on user behavior."
1053,Pachyderm,w2015,Pachyderm is “Git for Data Science.” We offer complete version control for data and give your data science team the same first-class development tools as software developers.
1054,Pakible,w2015,"We make it insanely easy to design, price, and manufacture custom product packaging. Pakible is an unbeatable experience and price compared to brokers or direct manufacturers."
1055,Paperspace,w2015,"Paperspace is a GPU accelerated cloud platform for individuals, startups, and the enterprise."
1056,Pigeonly,w2015,"Pigeonly is a platform that makes it easy for people to search, find and communicate with an incarcerated loved one."
1057,Platzi,w2015,"Live streaming classes on design, marketing and code. Learn from industry leaders."
1058,Pomello,w2015,"Analytics software that helps companies measure organizational culture, screen talent for ""fit"", and drive high performance cultures."
1059,Popular Pays,w2015,"Popular Pays is the largest, most active, and most reliable marketplace where social media creators and brands meet to create content worth sharing."
1060,Pretty Instant,w2015,"Hand selected photographers for all occasions, nationwide. #NoSelfies We also build proprietary photo-marketing technology used by household brands & innovative startups across the country."
1061,Priime,w2015,"Priime is a company dedicated to advancements in technology around visual creative content like photography. We work heavily in native desktop, mobile, and web applications, as well as R&D in the blockchain space with the PRM platform."
1062,Qventus,w2015,We help hospitals run efficiently by predicting department resource needs and providing front line staff with real-time resource allocation guidance.
1063,Rare Door,w2015,Empowering brick-and-mortar retailers to sell more and engage shoppers
1064,Raven Tech,w2015,"Our vision is to build the next generation of iOS or Android, to fundamentally change how we interact with our mobile devices. We start from Flow 1.0, you use voice to access hundreds of apps' data and services from the cloud in real time."
1065,Razorpay,w2015,A modern online payment gateway for India
1066,ReadMe,w2015,"ReadMe provides every company the ability to quickly and easily create beautiful documentation, and build loyal and productive developer communities."
1067,Remix,w2015,Helping today’s cities design their transportation future
1068,Replika,w2015,Replika is an AI friend that you grow by talking to it.
1069,ReSchedule Med,w2015,"We help medical residency programs create and manage their schedules, by providing end to end scheduling workflows."
1070,Rescue Forensics,w2015,Actionable human trafficking intelligence
1071,Sails Co.,w2015,"Full-service web, mobile, & cloud studio providing professional support for the Sails framework and the open-source tools we build and maintain."
1072,Shasqi,w2015,Implantable hydrogel increases drug effectiveness
1073,Shift Labs,w2015,"Makers of simple, affordable medical devices for low resource healthcare settings. Our award-winning DripAssist Infusion Rate Monitor provides safe, continuous monitoring for gravity IV infusions to ensure proper medication dosage in any environment."
1074,Shift Messenger,w2015,Real-time communication solution for retail and restaurant employees.
1075,SigOpt,w2015,SigOpt is an Optimization-as-a-Service platform that seamlessly tunes AI and machine learning models with state-of-the-art Bayesian optimization techniques behind a simple API
1076,SIRUM,w2015,SIRUM is a “match.com” for unused medicine. We connect institutional surplus medicine with safety-net clinics.
1077,Smarking,w2015,Enable hassle free parking and highly efficient urban mobility.
1078,SmartSpot,w2015,Live home fitness training powered by computer vision
1079,Smyte,w2015,Smyte stops bad actors on social networks and marketplaces.
1080,Spark Gift,w2015,SparkGift makes it easy to send stocks and index funds as gifts to friends and family.
1081,Spire,w2015,Realtime mindfulness and chronic disease sensor platform
1082,Spoil,w2015,Spoil is gifting for the Snapchat generation.
1083,Standard Cyborg,w2015,The API for the Physical World
1084,Tab,w2015,Booking and payment platform for travellers abroad – cheaper and safer for travellers & tourist businesses.
1085,TARA,w2015,"AI project manager, leading software development."
1086,TeamNote,w2015,Mobile Productivity (Slack for mobile workforces)
1087,Tech in Asia,w2015,"Tech in Asia is a media, events, and jobs platform for Asia’s tech communities."
1088,The Human Utility,w2015,The Human Utility seeks to eliminate water service disconnections for low-income and elderly people using crowds and data.
1089,ThinAir,w2015,Intelligent data security for teams
1090,Transcriptic,w2015,The robotic cloud laboratory for the life sciences.
1091,Underground Cellar,w2015,Wine deals without bastardizing brands.
1092,UserGems,w2015,Identify and Engage Influencers among your Users
1093,Valor Water Analytics,w2015,Valor Water Analytics delivers a SaaS platform to utilities to detect and address water loss.
1094,Vanhawks,w2015,"We are making the smart carbon fibre commuting bike and platform for smart bikes. Valour, our first product has turn-by-turn direction, blind spot detection system, anti-theft and best route suggestions through data to take you from point a to b."
1095,Vertical,w2015,A.I. Software for augmented reality experiences
1096,Vest,w2015,Bringing wider access to financial derivatives.
1097,VetPronto,w2015,On demand veterinary house calls.
1098,WayUp,w2015,Marketplace for college students and recent graduates to find and apply for jobs and internships.
1099,Wink Health,w2015,The digital sleep clinic
1100,WorkLife,w2015,WorkLife is a SaaS application that helps teams have more effective meetings.
1101,Yhat,w2015,End-to-end data science lifecycle management platform.
1102,Zenflow,w2015,"Medical device that provides a more effective, less invasive treatment for BPH (enlarged prostate), which affects almost all men at some point in life"
1103,Alchemy,s2014,"Thin, transparent films for automobile windshields to prevent stone chips, block solar infrared heat, and prevent frost."
1104,Aptible,s2014,Security Management and Compliance for Developers
1105,Backpack,s2014,Marketplace to get stuff from overseas
1106,Bannerman,s2014,Providing Security Guards for Every Business
1107,Bayes Impact,s2014,Nonprofit that brings data science solutions to big social problems
1108,Beep,s2014,Cellular networks for IoT.
1109,Bikanta,s2014,Nano-diamonds for cancer detection
1110,Billforward,s2014,"Subscription billing, rate plan management and analytics as a service. We help you optimise your product rate plans, if you have a subscription based offering we can help!"
1111,Bitaccess,s2014,We make bitcoin simple.
1112,Blockspring,s2014,Blockspring automates data collection by connecting your favorite tools to APIs.
1113,Blockstack,s2014,Blockstack is a decentralized computing platform. It’s the easiest way to build decentralized apps that can scale.
1114,Carlypso,s2014,Used car marketplace
1115,Checkr,s2014,Checkr’s mission is to build a fairer future by improving the understanding of the past. We're modernizing how background checks are done.
1116,Clara Labs,s2014,Clara schedules interviews for recruiting teams by combining the intelligence of software and the expertise of a team.
1117,ClearTax,s2014,Intuit of India.
1118,Cognito,s2014,"Frictionless, modern identity verification that starts with just a phone number."
1119,Craft Coffee,s2014,Better coffee for less money
1120,Doblet,s2014,"Doblet solves the phone battery problem. We're building the first truly mobile power network, with patent-pending Apple-approved smart battery tech. Pick up and drop off anywhere -- now in 1000+ restaurants, bars, cafes, gyms and offices around SF!"
1121,Fixed,s2014,iPhone app to fight your parking tickets.
1122,Flaviar,s2014,Try-at-home service for fine spirits
1123,Flynn,s2014,Flynn is an open source Platform as a Service (PaaS)
1124,Flytenow,s2014,Ride sharing for small planes
1125,Front,s2014,Collaborative Inbox for Companies
1126,Ginkgo Bioworks,s2014,The organism company.
1127,Greentoe,s2014,"""Name Your Price"" for products"
1128,HauteDay,s2014,Gaming Meets Women's Shopping.
1129,Helion,s2014,"Fusion, the future of energy."
1130,Hive,s2014,"Hive is a customer data and email platform used by thousands of brands to personalize and automate their marketing campaigns. Our technology helps brands sell more stuff, while keeping their customers happy, engaged, and spending money."
1131,Hublo,s2014,"Hublo is making data-driven marketing simpler. It's a super simple tool, allowing marketers to set-up analytics, monitor precisely what's happening on their website and launch remarketing campaigns without relying on their IT teams."
1132,Hyperpad,s2014,Hypercard for iPad. Allows non-technical people to create media rich interactive apps like mobile games then publish them to the App store as native apps with out writing a single line of code.
1133,Impraise,s2014,"Web & mobile platform for real-time performance check-ins, recognition & coaching"
1134,In Your Corner,s2014,"We've transformed traditional therapy into an experience that is affordable, approachable & anonymous. Through video + written consultations, we connect clients with licensed therapists online so you can get the support you need when you need it."
1135,Kash,s2014,We are fixing how money works.
